domainID,review
mov_647,'अग्ली' की कुरूपता समझने के लिए इन गीतों को फिल्म देखने के पहले या बाद में सुन लें तो पूरा नजरिया और संदर्भ मिल जाएगा।
sma_225,बैटरी लाइफ बहुत बढिया है।
tra_490,सहयाद्रि पर्वत श्रृंखला की पहाड़ियों और घाटियों में बसे इस स्थान पर पूरे साल भर आनंददायक मौसम रहता है।
sma_127,हालांकि इसमें अन्‍य फिटनेस वॉचेस की तरह डिस्‍प्‍ले नहीं है।
mov_761,'हैप्पी न्यू ईयर' का वितान व्यावसायिक उद्देश्य से ही रचा गया है।
app_198,लो एंड डिवाइस में भी चलने योग्य है ।
mov_752,फराह खान और शाह रुख खान की जोड़ी की तीसरी फिल्म 'हैप्पी न्यू ईयर' आकर्षक पैकेजिंग का सफल नमूना है।
tra_49,"इसके बाद चीन में 47, स्पेन में 44, फ्रांस में 39, जर्मनी में 39, मैक्सिको में 32 और भारत में 32 वल्र्ड हेरिटेज साइट्स हैं।"
cam_114,इसमें जूम लैंस के साथ-साथ 3 इंच की एलसीडी स्क्रीन दी गई है।
tab_324,"आईपैड मिनी, लेटेस्ट आईपैड और अन्य सभी हाई एंड टेबलेट्स से भी सालों आगे नज़र आता है।"
tab_1209,यह डिवाइस पर अधिकतर ऑडियो और वीडियो कोडेक्स को इसका ऑपरेटिंग सिस्टम सपोर्ट करता है  पर फनबुक की मल्टीमीडिया की सुविधा को और बेहतर करने के लिए यूजर एंड्रॉयड मार्केट से मोबो प्लेयर जैसी एप्पलीकेशन्स भी आसानी से डाउनलोड कर सकते हैं।
tab_342,"एपल आईपैड की कीमत $329 है , जो कि अमेज़न और गूगल के किंडल फायर एचडी और नेक्सस 7 टेबलेट के $199 कीमत से काफी ज्यादा है।"
mob_476,2600 एमएएच बैटरी है।
tra_234,"सोमनाथ में अन्य पर्यटन और तीर्थ स्थलों में अहिल्याबाई मंदिर, सूरज मंदिर, त्रिवेणी घाट, प्रभास पाटन संग्रहालय और जूनागढ़ गेट शामिल हैं।"
lap_115,स्पेसिफिकेशन के आधार पर डीवी6 क्षमता में अपने प्रतियोगियों से काफी आगे और तीव्र मशीन नज़र आती है।
app_114,इसके अलावा इस एप्लिकेशन का बेहद अहम फीचर यह है कि इसपर आप अपने पसंदीदा ब्रांड को फॉलो कर सकते हैं और एक ही फीड पर आप उनके द्वारा चलाए जा रहे सभी कॉन्टेस्ट और अपडेट्स पढ़ सकते हैं।
hom_80,"इसका इंडोर डायमेंशन 470 mm चौड़ाई, 355 mm हाइट और 495 mm गहराई है।"
app_151,"इसके अतिरिक्त, अपग्रेड शानदार टेक्स्ट फार्मेटिंग लाय़ा है जबकि वे गूगल डॉक्यूमेंट (Google document) में कॉपी और पेस्ट कर सकते हैं।"
tab_137,आईफ़ोन 5 में लगा ए6 प्रोसेसर भी काफी शक्तिशाली था।
mob_32,इससे अच्छी सेल्फी ली जा सकती है।
tab_692,"माइक्रोमैक्स फनबुक प्रो (micromax Funbook Pro) माइक्रोमैक्स का नवीनतम टैबलेट है, तथा यह बाजार में 10 इंच वाला सबसे सस्ता टैबलेट है।"
mob_242,इसके अलावा इसमें सुपर चार्ज फीचर दिया गया है जिसके तहत इसकी बैटरी मात्र 15 मिनट की चार्जिंग में 6 घंटे तक चलती है।
mov_135,एवरेज एंजॉय के लिए एज ऑफ अल्ट्रॉन को पता है कि लोग क्या चाहते हैं।
mob_728,"इस स्मार्टफ़ोन में 5.2-इंच की बेज़ल लेस डिस्प्ले है, इसके साथ ही यह क्वाड-कोर स्नेप ड्रैगन प्रोसेसर पर काम करता है और इसमें एंड्राइड 5.0 है।"
tel_130,यानी डिस्प्ले क्वालिटी को देखते हुए इसकी कीमत बेहतर कही जा सकती है।
mov_110,बर्ड के डायरेक्शन में परफेक्शन है इस बात में कोई संदेह नहीं है।
tra_284,आप इन ग्रामीण इलाकों में रहकर प्रकृति की वादियों से रू-ब-रू हो सकते हैं।
sma_51,वॉयस कमांड से नियंत्रण संभव ।
lap_386,"इनके चलते इसे टेबलेट के रूप में काम में लेते हुए फोटो, वीडियो शूटिंग के लिए वीडियो चैटिंग करने के अलावा सेल्फी खींची जा सकती है।"
tab_972,बैटरी लाइफ अच्छी नहीं है।
mov_153,इसलिए आपको ये होने का इंतजार भर करना पड़ता है।
tab_495,इसके स्पेसिफिकेशन अच्छे हैं और यह एंड्रायड 4.1 जेली बीन ऑपरेटिंग सिस्टम पर हुवेई कस्टम स्किन के साथ काम करता है।
mov_408,इस फिल्म की सबसे खास बात यह है कि इस फिल्म देखने के बाद अाप यकीनन अपने जीवन में उनलोगों को महत्व देना शुरू कर देंगे जिनकी आप उपेक्षा करते रहते हैं।
tra_440,सुध महादेव-पटनीटॉप के निकट 1225 मीटर की ऊंचाई पर स्थित इस पवित्र जगह पर सावन (जुलाई-अगस्त) की पूर्णिमा में तीर्थयात्री त्रिशूल की पूजा अर्चना करते हैं।
mob_545,"व्यूविंग ऐंगल्स वैसे तो बुरे नहीं है, बहुत ही वाईड ऐंगल से भी थोडे और फिर कुछ रंग नहीं दिखते।"
app_54,"दायीं ओर वर्टिकल मेन्यू होता है जिसमें एनी टाइम टीवी (कैचअप टीवी), ट्रेंडिंग प्रोग्राम्स, फ्री वीडियोज और मूवी प्रीव्यू जैसे वैल्यू एडेड फीचर्स की लिस्ट होती है।"
mob_604,इस फोन के दोनों तरफ Curved ग्लास डिस्पले दिया गया है।
mob_378,"2500 एमएएच की बैटरी के साथ आने वाले इस फोन में कनेक्टीविटी के लिए वाई फाई, ब्लूटूथ, 3जी, जीपीएस, एनएफसी व माइक्रो-यूएसबी है।"
tab_20,हमारे हिसाब से इस कीमत में कुछ और अन्य विकल्पों को जांच कर ही इसे खरीदने का मन बनाएं तो बेहतर होगा।
mov_407,'दम लगा के हईशा' धीरे-धीरे आपके दिल में उतरती है और सिनेमा हॉल से निकलने के बाद भी आप फिल्म आपके मन में बसी होती है।
tab_346,अच्छे परफॉरमेंस के बावजूद गैलेक्सी टैब 7 प्लस की कीमत इसे पीछे कर देती है।
tra_544,यहां के गर्म पानी के झरने में स्नान करने का अपना अलग ही मजा है।
mob_406,इस फोन में स्क्रीन की ब्राइटनैस को कम ज्यादा करने का विकल्प मिलेगा।
tab_1181,फनबुक का आसान मगर उपयोगी डिजाइन है  जिसमें दो आवरणों के बीच में टैबलेट के इंटरनल कॉम्पोनेंट्स सुरक्षित हैं।
tab_40,लेकिन कुल मिलाकर  इस कीमत में यह औसत से कुछ बेहतर  श्रेणी का टैबलेट है।
mob_1461,दूसरी तरफ विंदोज फोन डिवाइसेस की तरह 'लाइट (व्हाइट)' बैकग्राउंड यूज करना आसान नहीं होगा।
lap_423,"सबसे अहम् बात ये है की डिज़ाइन और लुक्स के मामले में ये लेनोवो जेड580 से कहीं आगे है,  इसे निश्चित रूप से एक बेहतर चुनाव कहा जा सकता है।"
tra_117,ब्रिटिश शासन के दौरान अंग्रेजो के लिए मुन्नार दक्षिणी भारत का गर्मियों का रिजॉर्ट हुआ करता था।
app_45,इस समय केवल एंड्रॉयड डिवाइसेज पर ही उपलब्ध  है ।
tab_1231,माइक्रोसॉफ्ट का सरफेस टैबलेट आम टैबलेट्स से पतला है।
mob_104,कैनवस टर्बो मिनी का ऑडियो आउटपुट अच्छा है।
sma_40,"मोटो 360 बेहतरीन स्मार्टवॉच है, लेकिन इसका हार्ड वेयर उतना उम्दा नहीं है।"
tra_264,आप सीधे पटना से भी बोधगया पहुंच सकते हैं।
sma_31,थोड़ी तो कन्‍फ्यूजिंग है एप्पल वॉच ।
mob_202,"अंधेरे में कैमरे के साथ थोड़ी परेशानी आती है, यह थोड़ा कमजोर पड़ जाता है।"
sma_246,"उदाहरण के लिए, हमारे रेगुलर प्रयोग में इसने एक बार हमें जीमेल और ट्विटर का नोटिफिकेशन नहीं दिया जबकि ये एप इसमें पहले ही सेलेक्टेड थे।"
mov_15,फैंस जो है वो इस रोल से निराश होंगे।
lap_75,4-5 बार रिपेयर होने के बाद भी उसके वायरलेस ने पूरा काम करना बंद कर दिया था।
tab_181,"हलांकि कुछ मौकों पर इसमें बहुत मामूली सी देरी होती है , लेकिन यह कोई बड़ी बात नहीं है।"
lap_234,Asus Chromebox कंप्यूटर�आप वायरलैस तकनीक क तहत महज एक क्लिक से कॉन्फ्रेंस करने समेत तथा डॉक्यूमेंट्स शेयर कर सकते हैं।
mob_364,दिखने में यह स्मार्टफोन कि सी टेबलेट की तरह लगता है क्योंकि इसमें 5 इंच की बड़ी और फुल एचडी डिस्पले स्क्रीन दी गई है।
lap_215,फोन में चार सेल की बैटरी है जो कुछ ही घंटे चल पाती है।
mob_783,फोन में एक साफ सुथरा और अच्छा ऑपरेटिंग देखने को मिलता है।
tra_63,कान्हा राष्ट्रीय उद्यान के भ्रमण के लिए आने वाले पर्यटकों को इस आयोजन के द्वारा बैगा संस्कृृति और उनकी परम्पराओं को करीब से देखने का अवसर मिलेगा।
app_129,"इतना ही नहीं इसके द्वारा आप स्कैंडल्स, पार्टीज, मूवीज़ की मेकिंग से जुड़े किस्से, सीन, उनका खाना, सोना, पीना आदि के बारे में आसानी से जान सकते हैं, यहाँ आपको आपके पसंदीदा"
mob_680,उम्मीद से कम कैमरा है।
