reviewNum,domainID,aspectCategoryPolarity,review,aspectCategory,domain,reviewID,predictedCategory,predictedCategorySentiment
0,app_2,neu,फेसबुक का सिक्योरिटी चैकअप फीचर पॉपअप की तरह यूजर्स को दिखाइ देगा।,gui,app,app_2,misc,pos
1,app_3,neu,"इस पॉपअप बॉक्स में पासवर्ड चेंज करने, लॉगइन अलर्ट्स चालू करने और मौजूदा फेसबुक सेशन को पूरी तरह से बंद करने के ऑप्शन मिलेंगे।",misc,app,app_3,hardware,pos
2,app_20,pos,मैसेंजर अब ब्लैकबेरी स्मार्टफोन तक ही सीमित नहीं है।,ease_of_use,app,app_20,software,pos
3,app_27,pos,"चूंकि इसका गोइंग अच्छा था, अत: मैंने एप्प्ल एप्प स्टोर से बीबीएम को डाउनलोड कर लिया।",misc,app,app_27,software,pos
4,app_32,pos,"आपकी रूचि बनाये रखने के लिए, इस एप्प में काले, आसमानी, नीले और सफेद रंग के मिश्रण से युक्त पर्याप्त विजुअल एलीमेंट्स उपलब्ध हैं।",misc,app,app_32,design,neu
5,app_48,neu,यह एप्प अभी सिर्फ एंड्रॉयड डिवाइसेज के लिए ही उपलब्ध है।,misc,app,app_48,software,pos
6,app_67,neu,टाटा स्कार्इ और डिश टीवी दोनों कुछ खास स्पोर्ट्स चैनल देते हैं।,misc,app,app_67,software,pos
7,app_72,neg,इस प्लेटफॉर्म पर अभी तक एचडी चैनल्स उपलब्ध नहीं हैं।,misc,app,app_72,software,pos
8,app_81,pos,'एंटर साइन ईजी एप' के साथ आईफोन 5एस के उपभोक्ताओं की यह परेशानी खत्म हो जाती है।,misc,app,app_81,design,neu
9,app_99,pos,इसमें विशेष बेस और ट्रेबल नियंत्रण है।,ease_of_use,app,app_99,software,pos
11,app_110,neu,स्लोफो का ज्यादातर फीचर गेमिंग पर आधारित है।,misc,app,app_110,software,pos
12,app_138,neu,"रिम (RIM) ने अपने मैसेंजर एप्प का नया वर्जन उतारा है, बीबीएम (BBM)।",misc,app,app_138,software,pos
13,app_144,neu,"हालांकि सूचना के मामले में, कुछ भी बदला नहीं गया है और यह जीपीएस के द्वारा ट्रेक लोकेशन नहीं है लेकिन यह रेलवे स्टेशन से प्राप्त जानकारी पर आधारित है जिसको ट्रेन ने हाल ही में क्रास किया हो।",gui,app,app_144,software,pos
14,app_148,neg,"जाहिर रूप से, एंड्रॉयड डिवाइस के यूजर्स, जो कि आउटलुक डॉट कॉम (Outlook.com) एप्प का इस्तेमाल करते थे, इसके पुराने यूजर इंटरफेस और सिंक परेशानियों से बहुत ज्यादा खुश नहीं है।",gui,app,app_148,software,pos
15,app_157,pos,कंपनी के एप्स स्टोर पर आज एक से बढ़कर एक म्यूजिक एप्लिकेशन हैं।,misc,app,app_157,software,pos
18,app_184,pos,कुल मिलाकर यह गेम एक बेहतरीन आइडिया है जो घंटों तक यूजर्स को अपने डिवाइस से जोड़े रख सकता है।,ease_of_use,app,app_184,software,pos
19,app_192,neg,डाउनलोड करने के हिसाब से देखें तो साइज खास बड़ा है।,misc,app,app_192,software,pos
20,app_214,pos,डिफॉल्ट ब्राउजर के साथ तालमेल बिठाने में आसान है।,misc,app,app_214,software,pos
21,cam_24,pos,रबर आईकैप के साथ व्यू फाइंडर बेहद आरामदायक बनाया गया है।,design,cam,cam_24,design,neu
22,cam_30,pos,"पिक्चर क्वालिटी, रॉ (RAW) और जेपीइजी (JPEG) तो प्रभावित करता है, पर इसके अलावा भी एक बेहद लाभकारी फीचर इसमें है।",hardware,cam,cam_30,design,neu
23,cam_39,pos,ऑटो व्हाइट बैलेंस हर सिचुएशन में अच्छा काम करता है और इसपर अच्छी पिक्चर का भरोसा आप कर सकते।,misc,cam,cam_39,software,pos
24,cam_47,pos,निकॉन ने पहली बार D5300 नाम से नया डीएसएलआर कैमरा लांच किया है जिसमें जीपीएस और वाईफाई कनेक्‍टीविटी का फीचर दिया गया है यानी आप कैमरे से सीधे अपनी तस्‍वीरें शेयर कर सकते हैं।,hardware,cam,cam_47,software,pos
25,cam_89,neg,जबकि माइक्रोसॉफ्ट किनेट 3डी कैमरा ऎसा करने सक्षम नहीं है।,misc,cam,cam_89,software,pos
26,cam_99,pos,यह कैमरा एनएफसी तथा वाय-फाय जैसे कनेक्टिविटी फीचर्स से लैस है।,hardware,cam,cam_99,software,pos
27,cam_101,pos,अब 360कैम नाम से छोटा सा लेकिन बहुत ही पावरफुल कैमरा आ चुका है जो पहली नजर में आपका मन मोह सकता है।,design,cam,cam_101,software,pos
28,cam_109,pos,बहुत खूबसूरत दिखने वाला यह शानदार कैमरा जल्द ही 249 डॉलर की कीमत के साथ बाजार उपलब्ध होने वाला है।,design,cam,cam_109,software,pos
